time,type,angle,power,powerL,powerR,raw
19.796,CMD,,,,, ?
19.814,MSG,,,,, kp=50.00 ki=2.00 kd=10.00 kspd=5.00 kdst=0.14 po=0.00
34.011,MSG,,,,, Motor: ON (offset=89.9)
41.912,D,-0.4,19,1519,1481,D,-0.4,19,1519,1481
42.013,D,-6.5,400,1900,1100,D,-6.5,400,1900,1100
42.112,D,-5.1,400,1900,1100,D,-5.1,400,1900,1100
42.212,D,-6.6,320,1820,1180,D,-6.6,320,1820,1180
42.312,D,-0.6,71,1571,1429,D,-0.6,71,1571,1429
42.413,D,-6.2,190,1690,1310,D,-6.2,190,1690,1310
42.512,D,-2.8,62,1562,1438,D,-2.8,62,1562,1438
42.612,D,-0.6,-34,1466,1534,D,-0.6,-34,1466,1534
42.712,D,-1.2,-187,1313,1687,D,-1.2,-187,1313,1687
42.812,D,-3.1,-400,1100,1900,D,-3.1,-400,1100,1900
42.912,D,-1.1,-147,1353,1647,D,-1.1,-147,1353,1647
43.012,D,0.2,-231,1269,1731,D,0.2,-231,1269,1731
43.112,D,0.2,-181,1319,1681,D,0.2,-181,1319,1681
43.213,D,0.4,-255,1245,1755,D,0.4,-255,1245,1755
43.313,D,0.3,-246,1254,1746,D,0.3,-246,1254,1746
43.412,D,0.4,-270,1230,1770,D,0.4,-270,1230,1770
43.512,D,0.2,-211,1289,1711,D,0.2,-211,1289,1711
43.613,D,0.2,-172,1328,1672,D,0.2,-172,1328,1672
43.712,D,-4.4,-57,1443,1557,D,-4.4,-57,1443,1557
43.812,D,-0.6,42,1542,1458,D,-0.6,42,1542,1458
43.912,D,-0.3,17,1517,1483,D,-0.3,17,1517,1483
44.012,D,-1.6,51,1551,1449,D,-1.6,51,1551,1449
44.112,D,-0.1,15,1515,1485,D,-0.1,15,1515,1485
44.213,D,-0.5,75,1575,1425,D,-0.5,75,1575,1425
44.312,D,-2.4,45,1545,1455,D,-2.4,45,1545,1455
44.412,D,-1.9,65,1565,1435,D,-1.9,65,1565,1435
44.513,D,-0.2,110,1610,1390,D,-0.2,110,1610,1390
44.612,D,-4.1,151,1651,1349,D,-4.1,151,1651,1349
44.713,D,-4.4,228,1728,1272,D,-4.4,228,1728,1272
44.812,D,-2.3,26,1526,1474,D,-2.3,26,1526,1474
44.912,D,-3.6,223,1723,1277,D,-3.6,223,1723,1277
45.011,D,-0.9,289,1789,1211,D,-0.9,289,1789,1211
45.113,D,-3.6,158,1658,1342,D,-3.6,158,1658,1342
45.213,D,-1.4,249,1749,1251,D,-1.4,249,1749,1251
45.313,D,-0.1,-200,1300,1700,D,-0.1,-200,1300,1700
45.413,D,0.0,-400,1100,1900,D,0.0,-400,1100,1900
45.512,D,0.4,-57,1443,1557,D,0.4,-57,1443,1557
45.613,D,0.0,-187,1313,1687,D,0.0,-187,1313,1687
45.713,D,0.2,-315,1185,1815,D,0.2,-315,1185,1815
45.813,D,-3.7,-151,1349,1651,D,-3.7,-151,1349,1651
45.913,D,0.2,-181,1319,1681,D,0.2,-181,1319,1681
46.012,D,-0.1,-46,1454,1546,D,-0.1,-46,1454,1546
46.113,D,-1.6,186,1686,1314,D,-1.6,186,1686,1314
46.212,D,-1.2,116,1616,1384,D,-1.2,116,1616,1384
46.312,D,-0.4,10,1510,1490,D,-0.4,10,1510,1490
46.412,D,-1.3,-8,1492,1508,D,-1.3,-8,1492,1508
46.513,D,0.1,-384,1116,1884,D,0.1,-384,1116,1884
46.612,D,-0.3,27,1527,1473,D,-0.3,27,1527,1473
46.712,D,0.1,35,1535,1465,D,0.1,35,1535,1465
46.813,D,-0.7,-148,1352,1648,D,-0.7,-148,1352,1648
46.913,D,-0.8,32,1532,1468,D,-0.8,32,1532,1468
47.012,D,-0.3,84,1584,1416,D,-0.3,84,1584,1416
47.112,D,-1.3,18,1518,1482,D,-1.3,18,1518,1482
47.212,D,0.1,86,1586,1414,D,0.1,86,1586,1414
47.312,D,-2.5,54,1554,1446,D,-2.5,54,1554,1446
47.412,D,-4.3,131,1631,1369,D,-4.3,131,1631,1369
47.513,D,-0.5,38,1538,1462,D,-0.5,38,1538,1462
47.613,D,-2.4,108,1608,1392,D,-2.4,108,1608,1392
47.712,D,-0.3,123,1623,1377,D,-0.3,123,1623,1377
47.813,D,-0.2,122,1622,1378,D,-0.2,122,1622,1378
47.912,D,-0.2,54,1554,1446,D,-0.2,54,1554,1446
48.012,D,-0.1,-33,1467,1533,D,-0.1,-33,1467,1533
48.113,D,0.2,-376,1124,1876,D,0.2,-376,1124,1876
48.212,D,-0.9,102,1602,1398,D,-0.9,102,1602,1398
48.312,D,-0.2,124,1624,1376,D,-0.2,124,1624,1376
48.412,D,0.3,60,1560,1440,D,0.3,60,1560,1440
48.513,D,-0.7,-226,1274,1726,D,-0.7,-226,1274,1726
48.612,D,-2.1,-276,1224,1776,D,-2.1,-276,1224,1776
48.713,D,-0.5,-257,1243,1757,D,-0.5,-257,1243,1757
48.813,D,-0.2,-400,1100,1900,D,-0.2,-400,1100,1900
48.913,D,-0.2,-400,1100,1900,D,-0.2,-400,1100,1900
49.013,D,-0.4,-121,1379,1621,D,-0.4,-121,1379,1621
49.112,D,-0.0,-81,1419,1581,D,-0.0,-81,1419,1581
49.213,D,0.0,237,1737,1263,D,0.0,237,1737,1263
49.313,D,0.3,120,1620,1380,D,0.3,120,1620,1380
49.413,D,0.3,173,1673,1327,D,0.3,173,1673,1327
49.512,D,0.2,120,1620,1380,D,0.2,120,1620,1380
49.612,D,-1.8,-117,1383,1617,D,-1.8,-117,1383,1617
49.713,D,-1.8,-120,1380,1620,D,-1.8,-120,1380,1620
49.814,D,-0.0,-272,1228,1772,D,-0.0,-272,1228,1772
49.913,D,-0.4,-113,1387,1613,D,-0.4,-113,1387,1613
50.013,D,-0.4,-397,1103,1897,D,-0.4,-397,1103,1897
50.113,D,-0.5,-161,1339,1661,D,-0.5,-161,1339,1661
50.213,D,-1.5,275,1775,1225,D,-1.5,275,1775,1225
50.313,D,-2.3,400,1900,1100,D,-2.3,400,1900,1100
50.413,D,-1.7,187,1687,1313,D,-1.7,187,1687,1313
50.513,D,-0.2,121,1621,1379,D,-0.2,121,1621,1379
50.612,D,-0.1,-45,1455,1545,D,-0.1,-45,1455,1545
50.713,D,-0.2,-240,1260,1740,D,-0.2,-240,1260,1740
50.812,D,-0.1,-54,1446,1554,D,-0.1,-54,1446,1554
50.913,D,-0.2,-325,1175,1825,D,-0.2,-325,1175,1825
51.013,D,-0.4,-211,1289,1711,D,-0.4,-211,1289,1711
51.113,D,0.1,-113,1387,1613,D,0.1,-113,1387,1613
51.212,D,0.2,-25,1475,1525,D,0.2,-25,1475,1525
51.313,D,0.2,150,1650,1350,D,0.2,150,1650,1350
51.412,D,0.2,112,1612,1388,D,0.2,112,1612,1388
51.512,D,0.1,147,1647,1353,D,0.1,147,1647,1353
51.612,D,0.3,139,1639,1361,D,0.3,139,1639,1361
51.713,D,0.2,152,1652,1348,D,0.2,152,1652,1348
51.812,D,0.0,242,1742,1258,D,0.0,242,1742,1258
51.913,D,0.0,225,1725,1275,D,0.0,225,1725,1275
52.013,D,-1.2,362,1862,1138,D,-1.2,362,1862,1138
52.113,D,-0.2,400,1900,1100,D,-0.2,400,1900,1100
52.213,D,0.3,340,1840,1160,D,0.3,340,1840,1160
52.313,D,0.5,-53,1447,1553,D,0.5,-53,1447,1553
52.413,D,0.3,365,1865,1135,D,0.3,365,1865,1135
52.513,D,0.2,400,1900,1100,D,0.2,400,1900,1100
52.613,D,0.3,-400,1100,1900,D,0.3,-400,1100,1900
52.713,D,0.3,-302,1198,1802,D,0.3,-302,1198,1802
52.813,D,-0.2,-400,1100,1900,D,-0.2,-400,1100,1900
52.912,D,0.3,2,1502,1498,D,0.3,2,1502,1498
53.013,D,0.4,171,1671,1329,D,0.4,171,1671,1329
53.113,D,0.2,400,1900,1100,D,0.2,400,1900,1100
53.212,D,0.3,44,1544,1456,D,0.3,44,1544,1456
53.312,D,0.3,-10,1490,1510,D,0.3,-10,1490,1510
53.412,D,0.5,-197,1303,1697,D,0.5,-197,1303,1697
53.513,D,-0.2,-400,1100,1900,D,-0.2,-400,1100,1900
53.613,D,-2.3,-400,1100,1900,D,-2.3,-400,1100,1900
53.713,D,-1.4,-285,1215,1785,D,-1.4,-285,1215,1785
53.813,D,-3.5,184,1684,1316,D,-3.5,184,1684,1316
53.913,D,-2.3,400,1900,1100,D,-2.3,400,1900,1100
54.013,D,-3.2,400,1900,1100,D,-3.2,400,1900,1100
54.113,D,0.8,400,1900,1100,D,0.8,400,1900,1100
54.213,D,2.2,-400,1100,1900,D,2.2,-400,1100,1900
54.313,D,-5.4,325,1825,1175,D,-5.4,325,1825,1175
54.413,D,-1.0,286,1786,1214,D,-1.0,286,1786,1214
54.513,D,-3.5,400,1900,1100,D,-3.5,400,1900,1100
54.613,D,-1.0,-113,1387,1613,D,-1.0,-113,1387,1613
54.713,D,3.2,-400,1100,1900,D,3.2,-400,1100,1900
54.813,D,2.1,-338,1162,1838,D,2.1,-338,1162,1838
54.912,D,-1.2,24,1524,1476,D,-1.2,24,1524,1476
55.013,D,-0.5,-159,1341,1659,D,-0.5,-159,1341,1659
55.112,D,-0.3,-96,1404,1596,D,-0.3,-96,1404,1596
